Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Adjusted Internal Energy,Enthalpy (kJ/kg),Adjusted Enthalpy,Entropy (J/g*K),Adjusted Entropy,Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
300,1,1.7966,0.5566,451.02,0,507.42,0,2.7421,0,0.65935,0.85262,269.38,1.9627,15.003,0.016774,vapor
300,2,3.6113,0.27691,450.37,-0.649999999999977,506.48,-0.939999999999998,2.6089,-0.1332,0.6618,0.85957,268.62,1.9635,15.013,0.016831,vapor
300,3,5.4446,0.18367,449.71,-1.31,505.54,-1.88,2.5301,-0.212,0.66428,0.86668,267.85,1.9644,15.023,0.016889,vapor
300,4,7.2968,0.13705,449.05,-1.96999999999997,504.59,-2.83000000000004,2.4736,-0.2685,0.66679,0.87398,267.08,1.9652,15.034,0.016949,vapor
300,5,9.1685,0.10907,448.38,-2.63999999999999,503.63,-3.79000000000002,2.4292,-0.3129,0.66933,0.88146,266.3,1.966,15.045,0.01701,vapor
300,6,11.06,0.090413,447.7,-3.31999999999999,502.67,-4.75,2.3924,-0.3497,0.6719,0.88914,265.51,1.9669,15.057,0.017073,vapor
300,7,12.973,0.077085,447.02,-4,501.69,-5.73000000000002,2.361,-0.3811,0.6745,0.89703,264.72,1.9677,15.07,0.017138,vapor
300,8,14.906,0.067086,446.33,-4.69,500.7,-6.72000000000003,2.3335,-0.4086,0.67714,0.90513,263.93,1.9685,15.082,0.017205,vapor
300,9,16.862,0.059306,445.63,-5.38999999999999,499.71,-7.71000000000004,2.3089,-0.4332,0.67981,0.91346,263.13,1.9694,15.096,0.017273,vapor
300,10,18.839,0.053081,444.92,-6.09999999999997,498.71,-8.71000000000004,2.2866,-0.4555,0.68252,0.92202,262.32,1.9702,15.11,0.017344,vapor
300,11,20.84,0.047985,444.21,-6.81,497.69,-9.73000000000002,2.2661,-0.476,0.68527,0.93084,261.51,1.971,15.125,0.017416,vapor
300,12,22.865,0.043736,443.49,-7.52999999999997,496.67,-10.75,2.2473,-0.4948,0.68806,0.93991,260.7,1.9718,15.14,0.017491,vapor
300,13,24.914,0.040139,442.76,-8.25999999999999,495.63,-11.79,2.2297,-0.5124,0.69089,0.94926,259.87,1.9725,15.156,0.017568,vapor
300,14,26.988,0.037054,442.02,-9,494.59,-12.83,2.2132,-0.5289,0.69376,0.9589,259.04,1.9733,15.172,0.017647,vapor
300,15,29.088,0.034379,441.28,-9.74000000000001,493.53,-13.89,2.1976,-0.5445,0.69667,0.96884,258.21,1.974,15.19,0.017729,vapor
300,16,31.215,0.032036,440.53,-10.49,492.46,-14.96,2.1828,-0.5593,0.69964,0.9791,257.37,1.9747,15.208,0.017813,vapor
300,17,33.37,0.029967,439.76,-11.26,491.38,-16.04,2.1687,-0.5734,0.70265,0.9897,256.52,1.9754,15.226,0.0179,vapor
300,18,35.553,0.028127,438.99,-12.03,490.29,-17.13,2.1553,-0.5868,0.70571,1.0007,255.66,1.9761,15.246,0.01799,vapor
300,19,37.766,0.026479,438.21,-12.81,489.18,-18.24,2.1424,-0.5997,0.70883,1.012,254.8,1.9767,15.266,0.018082,vapor
300,20,40.01,0.024994,437.42,-13.6,488.07,-19.35,2.13,-0.6121,0.712,1.0237,253.93,1.9773,15.287,0.018178,vapor
300,21,42.285,0.023649,436.61,-14.41,486.94,-20.48,2.118,-0.6241,0.71523,1.0359,253.05,1.9778,15.309,0.018277,vapor
300,22,44.594,0.022425,435.8,-15.22,485.79,-21.63,2.1064,-0.6357,0.71852,1.0485,252.16,1.9784,15.332,0.018379,vapor
300,23,46.936,0.021305,434.98,-16.04,484.63,-22.79,2.0952,-0.6469,0.72187,1.0615,251.27,1.9788,15.356,0.018485,vapor
300,24,49.314,0.020278,434.14,-16.88,483.46,-23.96,2.0842,-0.6579,0.7253,1.0751,250.36,1.9793,15.381,0.018595,vapor
300,25,51.729,0.019331,433.3,-17.72,482.27,-25.15,2.0736,-0.6685,0.72879,1.0892,249.45,1.9796,15.408,0.018709,vapor
300,26,54.182,0.018456,432.44,-18.58,481.06,-26.36,2.0632,-0.6789,0.73235,1.1039,248.53,1.98,15.435,0.018827,vapor
300,27,56.675,0.017644,431.57,-19.45,479.84,-27.58,2.053,-0.6891,0.736,1.1192,247.6,1.9802,15.463,0.01895,vapor
300,28,59.21,0.016889,430.68,-20.34,478.6,-28.82,2.043,-0.6991,0.73972,1.1352,246.66,1.9804,15.493,0.019077,vapor
300,29,61.787,0.016185,429.78,-21.24,477.34,-30.08,2.0333,-0.7088,0.74353,1.1518,245.71,1.9805,15.523,0.01921,vapor
300,30,64.41,0.015526,428.87,-22.15,476.06,-31.36,2.0237,-0.7184,0.74744,1.1692,244.75,1.9806,15.556,0.019348,vapor
300,31,67.08,0.014908,427.94,-23.08,474.77,-32.65,2.0142,-0.7279,0.75143,1.1874,243.78,1.9805,15.589,0.019492,vapor
300,32,69.799,0.014327,427,-24.02,473.45,-33.97,2.0049,-0.7372,0.75553,1.2065,242.8,1.9804,15.624,0.019642,vapor
300,33,72.57,0.01378,426.03,-24.99,472.11,-35.31,1.9957,-0.7464,0.75974,1.2265,241.8,1.9802,15.661,0.019798,vapor
300,34,75.396,0.013263,425.06,-25.96,470.75,-36.67,1.9866,-0.7555,0.76406,1.2476,240.8,1.9798,15.699,0.019962,vapor
300,35,78.278,0.012775,424.06,-26.96,469.37,-38.05,1.9775,-0.7646,0.7685,1.2697,239.78,1.9794,15.739,0.020133,vapor
300,36,81.22,0.012312,423.05,-27.97,467.96,-39.46,1.9686,-0.7735,0.77308,1.293,238.75,1.9788,15.781,0.020313,vapor
300,37,84.226,0.011873,422.01,-29.01,466.52,-40.9,1.9598,-0.7823,0.77779,1.3176,237.7,1.9781,15.825,0.020501,vapor
300,38,87.298,0.011455,420.95,-30.07,465.06,-42.36,1.9509,-0.7912,0.78264,1.3437,236.64,1.9772,15.871,0.0207,vapor
300,39,90.44,0.011057,419.88,-31.14,463.57,-43.85,1.9422,-0.7999,0.78766,1.3713,235.56,1.9762,15.92,0.020908,vapor
300,40,93.657,0.010677,418.77,-32.25,462.05,-45.37,1.9334,-0.8087,0.79284,1.4006,234.47,1.975,15.971,0.021128,vapor
300,41,96.954,0.010314,417.65,-33.37,460.5,-46.92,1.9247,-0.8174,0.79821,1.4318,233.36,1.9737,16.024,0.02136,vapor
300,42,100.33,0.0099667,416.49,-34.53,458.91,-48.51,1.916,-0.8261,0.80377,1.4651,232.23,1.9721,16.08,0.021605,vapor
300,43,103.8,0.0096335,415.31,-35.71,457.28,-50.14,1.9073,-0.8348,0.80955,1.5007,231.08,1.9703,16.139,0.021865,vapor
300,44,107.37,0.0093135,414.1,-36.92,455.62,-51.8,1.8985,-0.8436,0.81555,1.5388,229.91,1.9682,16.201,0.022141,vapor
300,45,111.04,0.0090057,412.86,-38.16,453.92,-53.5,1.8898,-0.8523,0.82181,1.5799,228.72,1.9659,16.267,0.022436,vapor
300,46,114.82,0.0087092,411.58,-39.44,452.17,-55.25,1.8809,-0.8612,0.82834,1.6242,227.51,1.9633,16.336,0.022749,vapor
300,47,118.72,0.0084231,410.26,-40.76,450.37,-57.05,1.8721,-0.87,0.83518,1.6722,226.27,1.9603,16.41,0.023085,vapor
300,48,122.75,0.0081466,408.9,-42.12,448.53,-58.89,1.8631,-0.879,0.84234,1.7245,225,1.957,16.488,0.023445,vapor
300,49,126.92,0.007879,407.5,-43.52,446.62,-60.8,1.854,-0.8881,0.84988,1.7815,223.71,1.9533,16.571,0.023833,vapor
300,50,131.24,0.0076194,406.06,-44.96,444.66,-62.76,1.8449,-0.8972,0.85782,1.8441,222.38,1.9491,16.66,0.024252,vapor
300,51,135.73,0.0073673,404.56,-46.46,442.63,-64.79,1.8356,-0.9065,0.86622,1.9132,221.01,1.9445,16.754,0.024705,vapor
300,52,140.41,0.0071219,403,-48.02,440.52,-66.9,1.8261,-0.916,0.87514,1.99,219.61,1.9392,16.855,0.0252,vapor
300,53,145.3,0.0068825,401.38,-49.64,438.34,-69.08,1.8165,-0.9256,0.88464,2.0757,218.16,1.9334,16.964,0.02574,vapor
300,54,150.41,0.0066484,399.68,-51.34,436.06,-71.36,1.8066,-0.9355,0.89481,2.1723,216.67,1.9268,17.081,0.026334,vapor
300,55,155.79,0.006419,397.91,-53.11,433.68,-73.74,1.7965,-0.9456,0.90576,2.2821,215.12,1.9193,17.208,0.026991,vapor
300,56,161.46,0.0061936,396.04,-54.98,431.19,-76.23,1.786,-0.9561,0.91761,2.4082,213.51,1.9109,17.347,0.027723,vapor
300,57,167.47,0.0059712,394.07,-56.95,428.56,-78.86,1.7752,-0.9669,0.93052,2.5548,211.83,1.9014,17.498,0.028546,vapor
300,58,173.88,0.0057511,391.98,-59.04,425.78,-81.64,1.764,-0.9781,0.94472,2.7278,210.06,1.8905,17.665,0.029478,vapor
300,59,180.76,0.0055322,389.75,-61.27,422.82,-84.6,1.7522,-0.9899,0.96049,2.9354,208.2,1.8779,17.85,0.030548,vapor
300,60,188.21,0.0053134,387.34,-63.68,419.64,-87.78,1.7398,-1.0023,0.97822,3.1903,206.21,1.8634,18.058,0.031794,vapor
300,61,196.35,0.0050928,384.72,-66.3,416.2,-91.22,1.7265,-1.0156,0.99847,3.5121,204.07,1.8463,18.294,0.033272,vapor
300,62,205.4,0.0048685,381.82,-69.2,412.41,-95.01,1.7122,-1.0299,1.0221,3.9338,201.73,1.8259,18.568,0.03507,vapor
300,63,215.65,0.0046372,378.57,-72.45,408.17,-99.25,1.6965,-1.0456,1.0505,4.5159,199.11,1.8011,18.891,0.037333,vapor
300,64,227.59,0.0043938,374.8,-76.22,403.29,-104.13,1.6787,-1.0634,1.0863,5.3844,196.09,1.7699,19.288,0.040338,vapor
300,65,242.22,0.0041284,370.22,-80.8,397.41,-110.01,1.6577,-1.0844,1.1353,6.8626,192.39,1.7282,19.803,0.044702,vapor
300,66,261.99,0.003817,364.11,-86.91,389.64,-117.78,1.6304,-1.1117,1.2153,10.188,187.18,1.6658,20.549,0.052411,vapor
300,66.253,268.58,0.0037232,362.09,-88.93,387.08,-120.34,1.6215,-1.1206,1.2476,11.921,185.33,1.6432,20.811,0.055713,vapor
300,66.253,679.24,0.0014722,273.49,-177.53,283.38,-224.04,1.2759,-1.4662,1.1199,8.6979,245.67,0.49715,53.192,0.080841,liquid
300,67,687.98,0.0014535,271.9,-179.12,281.77,-225.65,1.2701,-1.472,1.0926,7.5659,257.64,0.4637,54.328,0.080098,liquid
300,68,697.49,0.0014337,270.14,-180.88,280.01,-227.41,1.2638,-1.4783,1.0696,6.6348,270.09,0.43017,55.593,0.079708,liquid
300,69,705.44,0.0014176,268.64,-182.38,278.55,-228.87,1.2585,-1.4836,1.054,6.0205,280.31,0.40399,56.676,0.079644,liquid
300,70,712.34,0.0014038,267.33,-183.69,277.29,-230.13,1.2538,-1.4883,1.0422,5.5761,289.17,0.38245,57.634,0.079747,liquid
300,71,718.48,0.0013918,266.16,-184.86,276.17,-231.25,1.2496,-1.4925,1.0326,5.2356,297.09,0.36415,58.501,0.079944,liquid
300,72,724.03,0.0013812,265.09,-185.93,275.16,-232.26,1.2457,-1.4964,1.0246,4.9641,304.33,0.34825,59.298,0.080196,liquid
300,73,729.11,0.0013715,264.1,-186.92,274.24,-233.18,1.2422,-1.4999,1.0177,4.7412,311.02,0.33422,60.039,0.080482,liquid
300,74,733.81,0.0013628,263.18,-187.84,273.4,-234.02,1.2389,-1.5032,1.0116,4.554,317.27,0.32167,60.732,0.080788,liquid
300,75,738.19,0.0013547,262.32,-188.7,272.61,-234.81,1.2358,-1.5063,1.0062,4.394,323.15,0.31034,61.387,0.081106,liquid
300,76,742.3,0.0013472,261.51,-189.51,271.88,-235.54,1.2329,-1.5092,1.0014,4.2551,328.71,0.30002,62.008,0.081431,liquid
300,77,746.17,0.0013402,260.74,-190.28,271.19,-236.23,1.2302,-1.5119,0.99694,4.1331,334,0.29056,62.6,0.081759,liquid
300,78,749.84,0.0013336,260,-191.02,270.54,-236.88,1.2276,-1.5145,0.99289,4.0248,339.05,0.28183,63.167,0.082089,liquid
300,79,753.32,0.0013274,259.3,-191.72,269.93,-237.49,1.2251,-1.517,0.98918,3.9278,343.88,0.27373,63.711,0.082417,liquid
300,80,756.65,0.0013216,258.64,-192.38,269.35,-238.07,1.2227,-1.5194,0.98575,3.8402,348.52,0.26618,64.235,0.082744,liquid
300,81,759.83,0.0013161,257.99,-193.03,268.79,-238.63,1.2204,-1.5217,0.98258,3.7607,352.99,0.25912,64.741,0.083068,liquid
300,82,762.88,0.0013108,257.37,-193.65,268.26,-239.16,1.2182,-1.5239,0.97963,3.688,357.3,0.25249,65.23,0.083389,liquid
300,83,765.81,0.0013058,256.78,-194.24,267.76,-239.66,1.2161,-1.526,0.97688,3.6212,361.47,0.24624,65.704,0.083707,liquid
300,84,768.63,0.001301,256.2,-194.82,267.27,-240.15,1.214,-1.5281,0.97431,3.5596,365.5,0.24034,66.164,0.084021,liquid
300,85,771.35,0.0012964,255.64,-195.38,266.81,-240.61,1.212,-1.5301,0.9719,3.5025,369.42,0.23476,66.612,0.084331,liquid
300,86,773.98,0.001292,255.1,-195.92,266.36,-241.06,1.2101,-1.532,0.96965,3.4493,373.22,0.22945,67.048,0.084637,liquid
300,87,776.53,0.0012878,254.58,-196.44,265.93,-241.49,1.2082,-1.5339,0.96752,3.3997,376.92,0.2244,67.473,0.084939,liquid
300,88,779,0.0012837,254.06,-196.96,265.51,-241.91,1.2064,-1.5357,0.96552,3.3533,380.52,0.21959,67.888,0.085237,liquid
300,89,781.39,0.0012798,253.57,-197.45,265.11,-242.31,1.2046,-1.5375,0.96363,3.3097,384.03,0.215,68.293,0.085531,liquid
300,90,783.72,0.001276,253.08,-197.94,264.72,-242.7,1.2029,-1.5392,0.96184,3.2686,387.45,0.2106,68.69,0.085821,liquid
300,91,785.98,0.0012723,252.61,-198.41,264.34,-243.08,1.2012,-1.5409,0.96015,3.2299,390.79,0.20639,69.079,0.086107,liquid
300,92,788.18,0.0012687,252.15,-198.87,263.98,-243.44,1.1996,-1.5425,0.95855,3.1933,394.06,0.20235,69.459,0.08639,liquid
300,93,790.33,0.0012653,251.7,-199.32,263.63,-243.79,1.198,-1.5441,0.95703,3.1585,397.26,0.19847,69.832,0.086669,liquid
300,94,792.42,0.001262,251.26,-199.76,263.28,-244.14,1.1964,-1.5457,0.95558,3.1256,400.39,0.19474,70.199,0.086945,liquid
300,95,794.47,0.0012587,250.83,-200.19,262.95,-244.47,1.1949,-1.5472,0.9542,3.0943,403.46,0.19114,70.558,0.087217,liquid
300,96,796.46,0.0012556,250.41,-200.61,262.63,-244.79,1.1934,-1.5487,0.95289,3.0644,406.46,0.18768,70.912,0.087486,liquid
300,97,798.41,0.0012525,250,-201.02,262.31,-245.11,1.1919,-1.5502,0.95163,3.0359,409.41,0.18433,71.259,0.087751,liquid
300,98,800.32,0.0012495,249.6,-201.42,262,-245.42,1.1904,-1.5517,0.95044,3.0087,412.31,0.1811,71.601,0.088013,liquid
300,99,802.19,0.0012466,249.2,-201.82,261.7,-245.72,1.189,-1.5531,0.9493,2.9827,415.15,0.17798,71.938,0.088273,liquid
300,100,804.01,0.0012438,248.81,-202.21,261.41,-246.01,1.1876,-1.5545,0.9482,2.9578,417.94,0.17495,72.269,0.088529,liquid
